"player";"post";"lineup";"matchday"
"Paul Pogba";"Attacking Midfield";"starting";8
"Marcus Rashford";"Right Wing";"starting";8
"Zlatan Ibrahimovic";"Centre-Forward";"starting";8
"Sergio Romero";"Keeper";"bench";8
"Marcos Rojo";"Centre-Back";"bench";8
"Luke Shaw";"Left-Back";"bench";8
"Michael Carrick";"Defensive Midfield";"bench";8
"Juan Mata";"Attacking Midfield";"bench";8
"Jesse Lingard";"Left Wing";"bench";8
"Wayne Rooney";"Secondary Striker";"bench";8
"David de Gea";"Keeper";"starting";9
"Eric Bailly";"Centre-Back";"starting";9
"Chris Smalling";"Centre-Back";"starting";9
"Daley Blind";"Left-Back";"starting";9
"Antonio Valencia";"Right-Back";"starting";9
"Paul Pogba";"Central Midfield";"starting";9
"Ander Herrera";"Central Midfield";"starting";9
"Marouane Fellaini";"Central Midfield";"starting";9
"Marcus Rashford";"Left Wing";"starting";9
"Jesse Lingard";"Right Wing";"starting";9
"Zlatan Ibrahimovic";"Centre-Forward";"starting";9
"Sergio Romero";"Keeper";"bench";9
"Marcos Rojo";"Centre-Back";"bench";9
"Matteo Darmian";"Right-Back";"bench";9
"Michael Carrick";"Defensive Midfield";"bench";9
"Ashley Young";"Left Midfield";"bench";9
"Juan Mata";"Attacking Midfield";"bench";9
"Anthony Martial";"Centre-Forward";"bench";9
"David de Gea";"Keeper";"starting";10
"Marcos Rojo";"Centre-Back";"starting";10
"Daley Blind";"Centre-Back";"starting";10
"Luke Shaw";"Left-Back";"starting";10
"Matteo Darmian";"Right-Back";"starting";10
"Paul Pogba";"Defensive Midfield";"starting";10
"Ander Herrera";"Defensive Midfield";"starting";10
"Jesse Lingard";"Attacking Midfield";"starting";10
"Marcus Rashford";"Left Wing";"starting";10
"Juan Mata";"Right Wing";"starting";10
"Zlatan Ibrahimovic";"Centre-Forward";"starting";10
"Sergio Romero";"Keeper";"bench";10
"Michael Carrick";"Defensive Midfield";"bench";10
"Morgan Schneiderlin";"Defensive Midfield";"bench";10
"Marouane Fellaini";"Central Midfield";"bench";10
"Ashley Young";"Left Midfield";"bench";10
"Memphis Depay";"Secondary Striker";"bench";10
"Wayne Rooney";"Attacking Midfield";"bench";10
"David de Gea";"Keeper";"starting";11
"Marcos Rojo";"Centre-Back";"starting";11
"Phil Jones";"Centre-Back";"starting";11
"Matteo Darmian";"Left-Back";"starting";11
"Ashley Young";"Right-Back";"starting";11
"Michael Carrick";"Defensive Midfield";"starting";11
"Paul Pogba";"Central Midfield";"starting";11
"Marouane Fellaini";"Central Midfield";"starting";11
"Wayne Rooney";"Left Wing";"starting";11
"Juan Mata";"Right Wing";"starting";11
"Zlatan Ibrahimovic";"Centre-Forward";"starting";11
"Sergio Romero";"Keeper";"bench";11
"Daley Blind";"Left-Back";"bench";11
"Timothy Fosu-Mensah";"Defensive Midfield";"bench";11
"Morgan Schneiderlin";"Defensive Midfield";"bench";11
"Jesse Lingard";"Right Wing";"bench";11
"Anthony Martial";"Centre-Forward";"bench";11
"Marcus Rashford";"Centre-Forward";"bench";11
"David de Gea";"Keeper";"starting";12
"Marcos Rojo";"Centre-Back";"starting";12
"Phil Jones";"Centre-Back";"starting";12
"Matteo Darmian";"Left-Back";"starting";12
"Antonio Valencia";"Right-Back";"starting";12
"Michael Carrick";"Defensive Midfield";"starting";12
"Paul Pogba";"Central Midfield";"starting";12
"Ander Herrera";"Central Midfield";"starting";12
"Anthony Martial";"Left Wing";"starting";12
"Juan Mata";"Right Wing";"starting";12
"Marcus Rashford";"Centre-Forward";"starting";12
"Sergio Romero";"Keeper";"bench";12
"Daley Blind";"Left-Back";"bench";12
"Morgan Schneiderlin";"Defensive Midfield";"bench";12
"Ashley Young";"Left Midfield";"bench";12
"Memphis Depay";"Left Wing";"bench";12
"Jesse Lingard";"Left Wing";"bench";12
"Wayne Rooney";"Centre-Forward";"bench";12
"David de Gea";"Keeper";"starting";13
"Marcos Rojo";"Centre-Back";"starting";13
"Phil Jones";"Centre-Back";"starting";13
"Matteo Darmian";"Left-Back";"starting";13
"Antonio Valencia";"Right-Back";"starting";13
"Paul Pogba";"Defensive Midfield";"starting";13
"Ander Herrera";"Defensive Midfield";"starting";13
"Juan Mata";"Attacking Midfield";"starting";13
"Marcus Rashford";"Left Wing";"starting";13
"Jesse Lingard";"Right Wing";"starting";13
"Zlatan Ibrahimovic";"Centre-Forward";"starting";13
"Sergio Romero";"Keeper";"bench";13
"Daley Blind";"Left-Back";"bench";13
"Marouane Fellaini";"Defensive Midfield";"bench";13
"Bastian Schweinsteiger";"Central Midfield";"bench";13
"Ashley Young";"Left Midfield";"bench";13
"Henrikh Mkhitaryan";"Attacking Midfield";"bench";13
"Wayne Rooney";"Left Wing";"bench";13
"David de Gea";"Keeper";"starting";14
"Marcos Rojo";"Centre-Back";"starting";14
"Phil Jones";"Centre-Back";"starting";14
"Matteo Darmian";"Left-Back";"starting";14
"Antonio Valencia";"Right-Back";"starting";14
"Michael Carrick";"Defensive Midfield";"starting";14
"Ander Herrera";"Central Midfield";"starting";14
"Paul Pogba";"Attacking Midfield";"starting";14
"Anthony Martial";"Left Wing";"starting";14
"Henrikh Mkhitaryan";"Right Wing";"starting";14
"Zlatan Ibrahimovic";"Centre-Forward";"starting";14
"Sergio Romero";"Keeper";"bench";14
"Eric Bailly";"Centre-Back";"bench";14
"Daley Blind";"Left-Back";"bench";14
"Marouane Fellaini";"Central Midfield";"bench";14
"Juan Mata";"Attacking Midfield";"bench";14
"Jesse Lingard";"Left Wing";"bench";14
"Marcus Rashford";"Left Wing";"bench";14
"David de Gea";"Keeper";"starting";15
"Marcos Rojo";"Centre-Back";"starting";15
"Phil Jones";"Centre-Back";"starting";15
"Matteo Darmian";"Left-Back";"starting";15
"Antonio Valencia";"Right-Back";"starting";15
"Michael Carrick";"Defensive Midfield";"starting";15
"Paul Pogba";"Central Midfield";"starting";15
"Ander Herrera";"Central Midfield";"starting";15
"Anthony Martial";"Left Wing";"starting";15
"Henrikh Mkhitaryan";"Right Wing";"starting";15
"Zlatan Ibrahimovic";"Centre-Forward";"starting";15
"Sergio Romero";"Keeper";"bench";15
"Eric Bailly";"Centre-Back";"bench";15
"Daley Blind";"Left-Back";"bench";15
"Marouane Fellaini";"Central Midfield";"bench";15
"Juan Mata";"Attacking Midfield";"bench";15
"Wayne Rooney";"Secondary Striker";"bench";15
"Marcus Rashford";"Left Wing";"bench";15
"David de Gea";"Keeper";"starting";16
"Marcos Rojo";"Centre-Back";"starting";16
"Phil Jones";"Centre-Back";"starting";16
"Daley Blind";"Left-Back";"starting";16
"Eric Bailly";"Right-Back";"starting";16
"Michael Carrick";"Defensive Midfield";"starting";16
"Paul Pogba";"Central Midfield";"starting";16
"Ander Herrera";"Central Midfield";"starting";16
"Wayne Rooney";"Left Wing";"starting";16
"Juan Mata";"Right Wing";"starting";16
"Zlatan Ibrahimovic";"Centre-Forward";"starting";16
"Sergio Romero";"Keeper";"bench";16
"Matteo Darmian";"Right-Back";"bench";16
"Marouane Fellaini";"Central Midfield";"bench";16
"Bastian Schweinsteiger";"Central Midfield";"bench";16
"Ashley Young";"Left Midfield";"bench";16
"Jesse Lingard";"Right Wing";"bench";16
"Marcus Rashford";"Left Wing";"bench";16
"David de Gea";"Keeper";"starting";17
"Marcos Rojo";"Centre-Back";"starting";17
"Phil Jones";"Centre-Back";"starting";17
"Matteo Darmian";"Left-Back";"starting";17
"Antonio Valencia";"Right-Back";"starting";17
"Michael Carrick";"Defensive Midfield";"starting";17
"Paul Pogba";"Central Midfield";"starting";17
"Ander Herrera";"Central Midfield";"starting";17
"Wayne Rooney";"Left Wing";"starting";17
"Jesse Lingard";"Right Wing";"starting";17
"Zlatan Ibrahimovic";"Centre-Forward";"starting";17
"Sergio Romero";"Keeper";"bench";17
"Chris Smalling";"Centre-Back";"bench";17
"Daley Blind";"Left-Back";"bench";17
"Marouane Fellaini";"Left Midfield";"bench";17
"Juan Mata";"Attacking Midfield";"bench";17
"Anthony Martial";"Centre-Forward";"bench";17
"Marcus Rashford";"Right Wing";"bench";17
"David de Gea";"Keeper";"starting";18
"Marcos Rojo";"Centre-Back";"starting";18
"Phil Jones";"Centre-Back";"starting";18
"Daley Blind";"Left-Back";"starting";18
"Antonio Valencia";"Right-Back";"starting";18
"Michael Carrick";"Defensive Midfield";"starting";18
"Paul Pogba";"Central Midfield";"starting";18
"Ander Herrera";"Central Midfield";"starting";18
"Jesse Lingard";"Left Wing";"starting";18
"Juan Mata";"Right Wing";"starting";18
"Zlatan Ibrahimovic";"Centre-Forward";"starting";18
"Sergio Romero";"Keeper";"bench";18
"Chris Smalling";"Centre-Back";"bench";18
"Matteo Darmian";"Right-Back";"bench";18
"Marouane Fellaini";"Central Midfield";"bench";18
"Henrikh Mkhitaryan";"Right Wing";"bench";18
"Anthony Martial";"Left Wing";"bench";18
"Marcus Rashford";"Centre-Forward";"bench";18
"David de Gea";"Keeper";"starting";19
"Eric Bailly";"Centre-Back";"starting";19
"Chris Smalling";"Centre-Back";"starting";19
"Daley Blind";"Left-Back";"starting";19
"Antonio Valencia";"Right-Back";"starting";19
"Marouane Fellaini";"Defensive Midfield";"starting";19
"Paul Pogba";"Central Midfield";"starting";19
"Ander Herrera";"Central Midfield";"starting";19
"Anthony Martial";"Left Wing";"starting";19
"Henrikh Mkhitaryan";"Right Wing";"starting";19
"Zlatan Ibrahimovic";"Centre-Forward";"starting";19
"Sergio Romero";"Keeper";"bench";19
"Marcos Rojo";"Centre-Back";"bench";19
"Phil Jones";"Centre-Back";"bench";19
"Bastian Schweinsteiger";"Central Midfield";"bench";19
"Juan Mata";"Attacking Midfield";"bench";19
"Jesse Lingard";"Left Wing";"bench";19
"Marcus Rashford";"Centre-Forward";"bench";19
"David de Gea";"Keeper";"starting";20
"Marcos Rojo";"Centre-Back";"starting";20
"Phil Jones";"Centre-Back";"starting";20
"Matteo Darmian";"Left-Back";"starting";20
"Antonio Valencia";"Right-Back";"starting";20
"Michael Carrick";"Defensive Midfield";"starting";20
"Paul Pogba";"Central Midfield";"starting";20
"Ander Herrera";"Attacking Midfield";"starting";20
"Jesse Lingard";"Left Wing";"starting";20
"Henrikh Mkhitaryan";"Right Wing";"starting";20
"Zlatan Ibrahimovic";"Centre-Forward";"starting";20
"Sergio Romero";"Keeper";"bench";20
"Chris Smalling";"Centre-Back";"bench";20
"Marouane Fellaini";"Central Midfield";"bench";20
"Ashley Young";"Left Midfield";"bench";20
"Juan Mata";"Right Wing";"bench";20
"Anthony Martial";"Centre-Forward";"bench";20
"Marcus Rashford";"Left Wing";"bench";20
"David de Gea";"Keeper";"starting";21
"Marcos Rojo";"Centre-Back";"starting";21
"Phil Jones";"Centre-Back";"starting";21
"Matteo Darmian";"Left-Back";"starting";21
"Antonio Valencia";"Right-Back";"starting";21
"Michael Carrick";"Defensive Midfield";"starting";21
"Paul Pogba";"Central Midfield";"starting";21
"Ander Herrera";"Central Midfield";"starting";21
"Anthony Martial";"Left Wing";"starting";21
"Henrikh Mkhitaryan";"Right Wing";"starting";21
"Zlatan Ibrahimovic";"Centre-Forward";"starting";21
"Sergio Romero";"Keeper";"bench";21
"Chris Smalling";"Centre-Back";"bench";21
"Daley Blind";"Left-Back";"bench";21
"Marouane Fellaini";"Central Midfield";"bench";21
"Juan Mata";"Attacking Midfield";"bench";21
"Wayne Rooney";"Secondary Striker";"bench";21
"Marcus Rashford";"Centre-Forward";"bench";21
"David de Gea";"Keeper";"starting";22
"Phil Jones";"Centre-Back";"starting";22
"Chris Smalling";"Centre-Back";"starting";22
"Daley Blind";"Left-Back";"starting";22
"Antonio Valencia";"Right-Back";"starting";22
"Ander Herrera";"Defensive Midfield";"starting";22
"Paul Pogba";"Central Midfield";"starting";22
"Marouane Fellaini";"Central Midfield";"starting";22
"Henrikh Mkhitaryan";"Left Wing";"starting";22
"Juan Mata";"Right Wing";"starting";22
"Zlatan Ibrahimovic";"Centre-Forward";"starting";22
"Sergio Romero";"Keeper";"bench";22
"Matteo Darmian";"Right-Back";"bench";22
"Michael Carrick";"Defensive Midfield";"bench";22
"Bastian Schweinsteiger";"Central Midfield";"bench";22
"Jesse Lingard";"Right Wing";"bench";22
"Wayne Rooney";"Attacking Midfield";"bench";22
"Marcus Rashford";"Left Wing";"bench";22
"David de Gea";"Keeper";"starting";23
"Marcos Rojo";"Centre-Back";"starting";23
"Phil Jones";"Centre-Back";"starting";23
"Daley Blind";"Left-Back";"starting";23
"Antonio Valencia";"Right-Back";"starting";23
"Michael Carrick";"Defensive Midfield";"starting";23
"Paul Pogba";"Central Midfield";"starting";23
"Ander Herrera";"Central Midfield";"starting";23
"Marcus Rashford";"Left Wing";"starting";23
"Henrikh Mkhitaryan";"Right Wing";"starting";23
"Zlatan Ibrahimovic";"Centre-Forward";"starting";23
"Sergio Romero";"Keeper";"bench";23
"Chris Smalling";"Centre-Back";"bench";23
"Ashley Young";"Left Midfield";"bench";23
"Juan Mata";"Right Wing";"bench";23
"Jesse Lingard";"Left Wing";"bench";23
"Wayne Rooney";"Attacking Midfield";"bench";23
"Anthony Martial";"Centre-Forward";"bench";23
"David de Gea";"Keeper";"starting";24
"Eric Bailly";"Centre-Back";"starting";24
"Chris Smalling";"Centre-Back";"starting";24
"Marcos Rojo";"Left-Back";"starting";24
"Antonio Valencia";"Right-Back";"starting";24
"Paul Pogba";"Defensive Midfield";"starting";24
"Ander Herrera";"Defensive Midfield";"starting";24
"Henrikh Mkhitaryan";"Attacking Midfield";"starting";24
"Marcus Rashford";"Left Wing";"starting";24
"Juan Mata";"Right Wing";"starting";24
"Zlatan Ibrahimovic";"Centre-Forward";"starting";24
"Sergio Romero";"Keeper";"bench";24
"Daley Blind";"Left-Back";"bench";24
"Michael Carrick";"Defensive Midfield";"bench";24
"Marouane Fellaini";"Central Midfield";"bench";24
"Ashley Young";"Left Midfield";"bench";24
"Jesse Lingard";"Left Wing";"bench";24
"Anthony Martial";"Centre-Forward";"bench";24
"David de Gea";"Keeper";"starting";25
"Eric Bailly";"Centre-Back";"starting";25
"Chris Smalling";"Centre-Back";"starting";25
"Daley Blind";"Left-Back";"starting";25
"Antonio Valencia";"Right-Back";"starting";25
"Paul Pogba";"Defensive Midfield";"starting";25
"Ander Herrera";"Central Midfield";"starting";25
"Henrikh Mkhitaryan";"Attacking Midfield";"starting";25
"Anthony Martial";"Left Wing";"starting";25
"Juan Mata";"Right Wing";"starting";25
"Zlatan Ibrahimovic";"Centre-Forward";"starting";25
"Sergio Romero";"Keeper";"bench";25
"Matteo Darmian";"Right-Back";"bench";25
"Michael Carrick";"Defensive Midfield";"bench";25
"Marouane Fellaini";"Central Midfield";"bench";25
"Jesse Lingard";"Left Wing";"bench";25
"Wayne Rooney";"Secondary Striker";"bench";25
"Marcus Rashford";"Left Wing";"bench";25
"David de Gea";"Keeper";"starting";26
"Eric Bailly";"Centre-Back";"starting";26
"Daley Blind";"Centre-Back";"starting";26
"Matteo Darmian";"Left-Back";"starting";26
"Antonio Valencia";"Right-Back";"starting";26
"Michael Carrick";"Defensive Midfield";"starting";26
"Ander Herrera";"Central Midfield";"starting";26
"Marouane Fellaini";"Central Midfield";"starting";26
"Anthony Martial";"Left Wing";"starting";26
"Henrikh Mkhitaryan";"Right Wing";"starting";26
"Marcus Rashford";"Centre-Forward";"starting";26
"Sergio Romero";"Keeper";"bench";26
"Axel Tuanzebe";"Centre-Back";"bench";26
"Luke Shaw";"Left-Back";"bench";26
"Timothy Fosu-Mensah";"Defensive Midfield";"bench";26
"Ashley Young";"Left Midfield";"bench";26
"Jesse Lingard";"Left Wing";"bench";26
"Wayne Rooney";"Secondary Striker";"bench";26
"David de Gea";"Keeper";"starting";27
"Marcos Rojo";"Centre-Back";"starting";27
"Phil Jones";"Centre-Back";"starting";27
"Luke Shaw";"Left-Back";"starting";27
"Antonio Valencia";"Right-Back";"starting";27
"Michael Carrick";"Defensive Midfield";"starting";27
"Paul Pogba";"Defensive Midfield";"starting";27
"Anthony Martial";"Left Wing";"starting";27
"Juan Mata";"Right Wing";"starting";27
"Wayne Rooney";"Secondary Striker";"starting";27
"Zlatan Ibrahimovic";"Centre-Forward";"starting";27
"Sergio Romero";"Keeper";"bench";27
"Chris Smalling";"Centre-Back";"bench";27
"Daley Blind";"Left-Back";"bench";27
"Ander Herrera";"Central Midfield";"bench";27
"Marouane Fellaini";"Defensive Midfield";"bench";27
"Jesse Lingard";"Left Midfield";"bench";27
"Marcus Rashford";"Right Wing";"bench";27
"Sergio Romero";"Keeper";"starting";28
"Phil Jones";"Centre-Back";"starting";28
"Chris Smalling";"Centre-Back";"starting";28
"Matteo Darmian";"Left-Back";"starting";28
"Eric Bailly";"Right-Back";"starting";28
"Axel Tuanzebe";"Defensive Midfield";"starting";28
"Marouane Fellaini";"Central Midfield";"starting";28
"Henrikh Mkhitaryan";"Attacking Midfield";"starting";28
"Anthony Martial";"Left Wing";"starting";28
"Juan Mata";"Right Wing";"starting";28
"Wayne Rooney";"Centre-Forward";"starting";28
"Joel Pereira";"Keeper";"bench";28
"Demetri Mitchell";"Left-Back";"bench";28
"Michael Carrick";"Defensive Midfield";"bench";28
"Ander Herrera";"Central Midfield";"bench";28
"Scott McTominay";"Attacking Midfield";"bench";28
"Jesse Lingard";"Left Wing";"bench";28
"Marcus Rashford";"Centre-Forward";"bench";28
"David de Gea";"Keeper";"starting";29
"Eric Bailly";"Centre-Back";"starting";29
"Phil Jones";"Centre-Back";"starting";29
"Chris Smalling";"Centre-Back";"starting";29
"Michael Carrick";"Defensive Midfield";"starting";29
