"player";"post";"lineup";"matchday"
"Luke Shaw";"Left-Back";"bench";33
"Michael Carrick";"Defensive Midfield";"bench";33
"Timothy Fosu-Mensah";"Defensive Midfield";"bench";33
"Henrikh Mkhitaryan";"Attacking Midfield";"bench";33
"Zlatan Ibrahimovic";"Centre-Forward";"bench";33
"David de Gea";"Keeper";"starting";34
"Eric Bailly";"Centre-Back";"starting";34
"Daley Blind";"Centre-Back";"starting";34
"Matteo Darmian";"Left-Back";"starting";34
"Ashley Young";"Right-Back";"starting";34
"Marouane Fellaini";"Defensive Midfield";"starting";34
"Paul Pogba";"Central Midfield";"starting";34
"Ander Herrera";"Central Midfield";"starting";34
"Wayne Rooney";"Left Wing";"starting";34
"Jesse Lingard";"Right Wing";"starting";34
"Anthony Martial";"Centre-Forward";"starting";34
"Sergio Romero";"Keeper";"bench";34
"Axel Tuanzebe";"Centre-Back";"bench";34
"Luke Shaw";"Left-Back";"bench";34
"Michael Carrick";"Defensive Midfield";"bench";34
"Timothy Fosu-Mensah";"Defensive Midfield";"bench";34
"Henrikh Mkhitaryan";"Right Wing";"bench";34
"Marcus Rashford";"Centre-Forward";"bench";34
"David de Gea";"Keeper";"starting";35
"Eric Bailly";"Centre-Back";"starting";35
"Daley Blind";"Centre-Back";"starting";35
"Luke Shaw";"Left-Back";"starting";35
"Ashley Young";"Right-Back";"starting";35
"Michael Carrick";"Defensive Midfield";"starting";35
"Ander Herrera";"Central Midfield";"starting";35
"Wayne Rooney";"Attacking Midfield";"starting";35
"Anthony Martial";"Left Wing";"starting";35
"Jesse Lingard";"Right Wing";"starting";35
"Marcus Rashford";"Centre-Forward";"starting";35
"Sergio Romero";"Keeper";"bench";35
"Axel Tuanzebe";"Centre-Back";"bench";35
"Antonio Valencia";"Right-Back";"bench";35
"Matteo Darmian";"Centre-Back";"bench";35
"Juan Mata";"Attacking Midfield";"bench";35
"Henrikh Mkhitaryan";"Attacking Midfield";"bench";35
"Scott McTominay";"Attacking Midfield";"bench";35
"David de Gea";"Keeper";"starting";36
"Phil Jones";"Centre-Back";"starting";36
"Chris Smalling";"Centre-Back";"starting";36
"Matteo Darmian";"Left-Back";"starting";36
"Axel Tuanzebe";"Right-Back";"starting";36
"Michael Carrick";"Defensive Midfield";"starting";36
"Ander Herrera";"Central Midfield";"starting";36
"Wayne Rooney";"Attacking Midfield";"starting";36
"Henrikh Mkhitaryan";"Left Wing";"starting";36
"Juan Mata";"Right Wing";"starting";36
"Anthony Martial";"Centre-Forward";"starting";36
"Sergio Romero";"Keeper";"bench";36
"Eric Bailly";"Centre-Back";"bench";36
"Daley Blind";"Left-Back";"bench";36
"Paul Pogba";"Central Midfield";"bench";36
"Scott McTominay";"Centre-Forward";"bench";36
"Jesse Lingard";"Left Wing";"bench";36
"Marcus Rashford";"Centre-Forward";"bench";36
"David de Gea";"Keeper";"starting";37
"Phil Jones";"Centre-Back";"starting";37
"Chris Smalling";"Centre-Back";"starting";37
"Daley Blind";"Left-Back";"starting";37
"Eric Bailly";"Right-Back";"starting";37
"Axel Tuanzebe";"Defensive Midfield";"starting";37
"Michael Carrick";"Defensive Midfield";"starting";37
"Juan Mata";"Attacking Midfield";"starting";37
"Anthony Martial";"Left Wing";"starting";37
"Jesse Lingard";"Right Wing";"starting";37
"Wayne Rooney";"Centre-Forward";"starting";37
"Sergio Romero";"Keeper";"bench";37
"Demetri Mitchell";"Left-Back";"bench";37
"Matteo Darmian";"Right-Back";"bench";37
"Ander Herrera";"Central Midfield";"bench";37
"Henrikh Mkhitaryan";"Central Midfield";"bench";37
"Scott McTominay";"Attacking Midfield";"bench";37
"Marcus Rashford";"Centre-Forward";"bench";37
"Joel Pereira";"Keeper";"starting";38
"Eric Bailly";"Centre-Back";"starting";38
"Phil Jones";"Centre-Back";"starting";38
"Demetri Mitchell";"Left-Back";"starting";38
"Timothy Fosu-Mensah";"Right-Back";"starting";38
"Axel Tuanzebe";"Defensive Midfield";"starting";38
"Paul Pogba";"Central Midfield";"starting";38
"Scott McTominay";"Central Midfield";"starting";38
"Josh Harrop";"Right Midfield";"starting";38
"Jesse Lingard";"Left Wing";"starting";38
"Wayne Rooney";"Centre-Forward";"starting";38
"Kieran O'Hara";"Keeper";"bench";38
"Daley Blind";"Left-Back";"bench";38
"Michael Carrick";"Defensive Midfield";"bench";38
"Matthew Willock";"Central Midfield";"bench";38
"Angel Gomes";"Attacking Midfield";"bench";38
"Zachary Dearnley";"Right Wing";"bench";38
"Anthony Martial";"Left Wing";"bench";38
