Player;Position;Age;Minutes played;Height;Weight;Tackle succ. %;Interceptions per 90;Goals per 90;Head goals per 90;Shots per 90;Shots on target %;Assists per 90;Crosses per 90;Dribbles per 90;Dribbles succ. %;Touches in box per 90;Passes per 90;Passes acc. %
T. Ince;AMF, RWF, RAMF;25;3958;178;66;50;1,66;0,16;0,02;2,61;40;0,07;1,66;1,55;47,06;2,71;25,79;82,54
F. Thauvin;RAMF, RWF, RW;24;3950;179;70;28,57;2,76;0,43;0;3,05;38,81;0,39;4,69;3,26;57,34;4,06;48,01;76,7
S. Agüero;CF;29;3941;173;70;28,57;1,12;0,78;0,14;4,36;41,88;0,21;1;2,01;57,95;5,14;26,6;81,89
A. Belotti;CF;24;3927;181;72;30;1,54;0,5;0,16;3,53;40,26;0,11;0,76;1,67;45,21;4,72;16,16;78,01
M. Albrighton;LW, RW;28;3920;174;67;25,81;3,3;0,11;0;0,74;37,5;0,3;5,53;2,21;55,79;1,12;33,76;64,83
P. Lees Melou;LW, LCMF, RW;24;3920;185;69;26,67;4,11;0,11;0,05;1,49;36,92;0,16;1,56;1,1;47,92;1,74;39,88;85,26
J. Hendrick;AMF, LCMF, RCMF;25;3899;185;79;16,67;2,66;0,05;0;0,78;18,18;0,07;0,9;1,05;72,73;0,81;29,14;82,97
C. Wood;CF;26;3876;191;95;0;1,83;0,58;0,1;1,97;54,32;0,07;0,39;0,39;37,5;3,14;15,61;71,14
Gerard Moreno;CF, AMF;25;3871;180;75;26,67;2,26;0,37;0,07;2,23;45,83;0,09;1,14;1,58;60,29;2,95;26,2;75,33
J. Allen;LCMF, RCMF, AMF;27;3866;168;62;30,77;4,98;0,09;0,02;0,88;21,62;0,1;1;1,22;62,75;1,55;38,71;85,9
G. Burgstaller;CF;28;3854;187;80;23,53;1,19;0,49;0,05;2,13;49,45;0,12;1,68;1,89;40,74;4,09;17,93;70,96
A. Lacazette;CF;26;3836;175;73;25;0,94;0,7;0,07;2,89;50,83;0,14;0,99;1,42;64,41;5,34;26,09;77,88
J. Cuadrado;RW, RAMF;29;3820;179;71;30,36;2,66;0,16;0,07;1,44;32,79;0,26;3,2;2,5;69,81;2,45;45,28;86,42
M. Ritchie;RW, RAMF, LW;28;3800;173;71;22,22;3,57;0,24;0,05;2,45;28,57;0,15;3,52;1,1;56,82;1,67;35,01;74,91
Son Heung-Min;LAMF, CF;25;3775;183;77;40;1,95;0,55;0,02;3,17;37,88;0,22;1,92;2,57;46,73;4,93;34,66;82,59
H. Mkhitaryan;AMF;28;3760;177;75;33,33;3,45;0,29;0;1,94;35,8;0,22;2,06;2,73;59,65;1,91;50,96;83,7
Rômulo;RB, RW, RCMF3;30;3757;178;72;0;2,72;0,07;0;0,81;36,36;0,1;3,51;1,99;55,56;1,15;38,58;79,77
A. Townsend;RW, LW, CF;26;3752;181;77;33,33;3,4;0,07;0;1,52;28,81;0,23;4,79;2,63;58,82;1,96;27,24;72,02
J. Draxler;LWF, LCMF3, AMF;24;3742;187;72;23,08;3,17;0,36;0;1,54;59,38;0,17;1,27;2,04;63,53;2,81;51,64;89,1
Y. Carrasco;LW, RW, LWB;24;3733;181;73;0;2,21;0,22;0,03;2,59;38,83;0,15;2,66;4,22;67,26;2,86;33,13;80,36
M. Özil;AMF, LCMF3;29;3733;180;76;11,11;1,41;0,19;0,02;1,34;42,59;0,32;1,99;1,49;60;3,1;65,19;87,59
D. Tadić;AMF, RAMF, RW;29;3731;181;76;50;2,58;0,14;0;1,74;31,94;0,19;3,93;1,33;61,82;3,52;37,87;76,11
D. Wass;RCMF3, AMF, RW;28;3730;181;74;9,09;3,6;0,17;0,02;1,5;32,26;0,19;1,66;0,6;60;1,25;38,9;78,72
A. Gómez;CF, AMF;29;3714;165;68;0;2,01;0,44;0;3,1;50,78;0,32;4,43;2,71;70,54;3,63;37,39;77,84
M. Sanson;AMF, LCMF3, LCMF;23;3710;180;73;44,44;2,74;0,19;0;1,53;33,33;0,22;2,89;2,11;57,47;2,13;38,67;80,68
K. Grosicki;LAMF, LW;29;3704;180;78;0;2,31;0,19;0,02;2,53;32,69;0,17;4,88;2,24;41,3;3,38;28,79;69,87
B. Oczipka;LWB, LCB3, LB;29;3703;185;85;30,23;4,5;0;0;0,46;21,05;0,15;2,72;1,9;69,23;0,66;39,86;78,35
S. Rondón;CF;28;3686;189;85;42,86;1,87;0,17;0,05;2,4;32,29;0,02;0,82;1,7;50;2,82;19,06;73,66
B. André;LCMF, RCMF, LW;27;3675;180;76;28,99;6,44;0,07;0,02;0,71;27,59;0,1;0,66;0,66;81,48;0,93;52,51;84,7
M. Lazzari;RWB, RB5;24;3671;174;67;45,45;3,6;0,02;0;0,72;24,14;0,1;5,33;3,11;61,9;1,41;30,58;76,67
M. Icardi;CF;24;3670;181;75;50;1,01;0,69;0,12;2,7;49,09;0,07;0,64;0,49;65;4,24;11,99;73,21
Iñaki Williams;RAMF, CF, RW;23;3658;186;76;50;2,09;0,22;0,02;2,12;46,51;0,12;3,42;3,1;53,97;4,01;24,33;71,18
G. Letizia;LB, RB, RW;27;3655;173;63;11,11;5,1;0,05;0;1,08;22,73;0;3,99;2,59;61,9;0,71;41,61;71,18
R. Aguilar;RB5, RB, RWB;24;3651;172;71;31,25;4,88;0;0;0,59;45,83;0,05;4,68;2,39;65,98;0,74;40,21;78,91
I. Nestorovski;CF;27;3646;182;75;14,29;1,41;0,39;0,1;2,22;52,22;0,05;0,32;1,06;41,86;2,99;18,61;71,88
R. Rodríguez;LB, LCB3, LWB;25;3645;180;77;38,89;3,31;0,12;0;0,94;36,84;0,02;2,81;0,32;69,23;0,4;50,15;86,66
V. Germain;CF;27;3644;180;73;33,33;1,43;0,42;0,1;2,4;49,48;0,05;1,26;0,54;50;3,33;19,41;77,86
Isco;AMF, LCMF3, RCMF3;25;3640;176;79;25;1,81;0,45;0;2,34;45,16;0,3;3,42;2,99;77,31;3,55;73,35;88,62
Philippe Coutinho;LWF, LCMF3, RWF;25;3626;171;68;42,86;2,09;0,57;0,03;3,66;39,44;0,26;1,37;3,27;53,54;2,55;54,11;82,61
D. Laxalt;LWB, LB;24;3622;178;66;20;4,77;0,05;0;0,69;18,52;0,08;3,72;2,68;57,14;1,4;33,64;73,33
M. Konaté;CF;24;3617;181;78;0;1,02;0,32;0,08;2,52;31,31;0,08;1,02;1,04;34,15;3,98;17,81;76,54
A. Knockaert;RW;26;3615;172;69;15,38;3,04;0,22;0,02;1,77;46,48;0,22;3,06;2,22;59,55;2,19;36;80,01
Suso;RWF, RW;24;3593;176;70;0;1,9;0,23;0;3,21;40,63;0,23;4,68;2,68;58,88;2,66;46,29;78,9
A. Smith;RB, RB5;26;3593;180;78;24;5,79;0;0;0,48;21,05;0,08;1,68;1,53;50,82;1,05;41,21;84,98
S. Haller;CF, LWF;23;3590;190;82;40;1,78;0,4;0,05;2,06;37,8;0,08;0,65;1,65;42,42;4,04;22,59;76,36
K. Lasagna;CF;25;3589;186;80;20;2,08;0,35;0,03;2,93;39,32;0,13;1,48;1,1;43,18;3,96;15,37;69,82
