Player;Position;Age;Minutes played;Height;Weight;Tackle succ. %;Interceptions per 90;Goals per 90;Head goals per 90;Shots per 90;Shots on target %;Assists per 90;Crosses per 90;Dribbles per 90;Dribbles succ. %;Touches in box per 90;Passes per 90;Passes acc. %
Willian José;CF;26;3039;189;93;0;1,39;0,47;0,18;2,93;44,44;0,12;0,59;0,5;70,59;3,49;25,82;79,47
Javier Hernández;CF, LWF;29;3039;175;73;33,33;0,92;0,38;0,12;2,34;41,77;0,09;0,95;1,48;54;3,85;20,91;76,91
B. Wood;CF;25;3032;180;79;0;1,31;0,21;0;1,78;38,33;0,03;0,53;2,55;54,65;2,85;15,52;72,47
D. Zapata;CF;26;3024;186;80;0;1,67;0,33;0,09;1,73;55,17;0,15;1,64;2,05;55,07;3,39;16,46;75,59
B. Moukandjo;CF, LW, LAMF;29;3021;180;74;0;1,76;0,45;0,03;1,76;49,15;0,18;1,91;1,34;51,11;2,29;25,86;76,84
B. Oviedo;LB, LB5;27;3019;172;65;39,47;6,06;0;0;0,66;23,81;0,06;2,26;1,98;69,84;0,85;36,72;73,5
M. Harnik;CF;30;3017;185;80;22,22;2,8;0,57;0,06;2,36;46,84;0,06;0,84;0,84;46,43;3,31;24,34;71,69
Júlio Tavares;CF, RW, LW;29;3016;187;84;66,67;2,33;0,27;0,09;1,49;44;0,12;0,75;0,69;47,83;2,75;17,13;67,42
H. Seferović;CF;25;3012;185;85;20;1,41;0,36;0,03;2,94;34,38;0,09;1,68;0,43;35,71;3,89;21,31;69,68
T. Chandler;RWB, RB;27;3011;186;84;29,41;4,01;0,03;0;0,51;17,65;0,12;3,98;0,78;46,15;0,84;31,95;71,38
J. Iličić;AMF, CF;29;3002;190;79;15,79;1,68;0,42;0;3,87;35,66;0,21;2,04;3,96;69,7;2,79;42,09;81,34
L. Alario;CF;25;2999;178;67;25;1,38;0,45;0,03;2,43;49,38;0,21;0,6;1,2;55;3,84;20,35;78,76
J. Amavi;LB, LW;23;2995;176;70;38,1;5,32;0,03;0;0,6;15;0,09;2,61;2,46;56,1;0,45;42,31;79,55
T. Hazard;LW, RW, CF;24;2994;174;69;0;3,46;0,33;0;2,46;43,9;0,21;3,16;2,68;55,06;3,67;36,94;77,46
Willian;RWF, AMF;29;2988;175;75;0;1,87;0,42;0,03;2,26;42,67;0,3;2,32;2,59;67,44;3,31;41,72;80,58
