Player,Goal,Right foot,Left foot,Head,Dribble successful,Aerial duels won,Assists,Total shots,Total Passes
Lacazette,1,"0,9","0,1","0,1","1,8",1,"0,1","3,1","28,2"
Giroud,"0,9","0,1","0,4","0,5","0,2","3,2","0,2","2,9","27,7"
