"player";"lineup";"post";"matchday"
"Laurent Koscielny";"starting";"Centre-Back";8
"Nacho Monreal";"starting";"Centre-Back";8
"Granit Xhaka";"starting";"Defensive Midfield";8
"Mohamed Elneny";"starting";"Defensive Midfield";8
"Héctor Bellerín";"starting";"Right Midfield";8
"Sead Kolasinac";"starting";"Left Midfield";8
"Alex Iwobi";"starting";"Attacking Midfield";8
"Danny Welbeck";"starting";"Attacking Midfield";8
"Alexandre Lacazette";"starting";"Centre-Forward";8
"David Ospina";"bench";"Keeper";8
"Rob Holding";"bench";"Centre-Back";8
"Francis Coquelin";"bench";"Defensive Midfield";8
"Jack Wilshere";"bench";"Central Midfield";8
"Mesut Özil";"bench";"Attacking Midfield";8
"Theo Walcott";"bench";"Right Wing";8
"Olivier Giroud";"bench";"Centre-Forward";8
"Petr Cech";"starting";"Keeper";9
"Per Mertesacker";"starting";"Centre-Back";9
"Laurent Koscielny";"starting";"Centre-Back";9
"Nacho Monreal";"starting";"Centre-Back";9
"Granit Xhaka";"starting";"Defensive Midfield";9
"Aaron Ramsey";"starting";"Defensive Midfield";9
"Héctor Bellerín";"starting";"Right Midfield";9
"Sead Kolasinac";"starting";"Left Midfield";9
"Mesut Özil";"starting";"Attacking Midfield";9
"Alexis Sánchez";"starting";"Attacking Midfield";9
"Alexandre Lacazette";"starting";"Centre-Forward";9
"Matt Macey";"bench";"Keeper";9
"Rob Holding";"bench";"Centre-Back";9
"Francis Coquelin";"bench";"Defensive Midfield";9
"Jack Wilshere";"bench";"Attacking Midfield";9
"Alex Iwobi";"bench";"Left Wing";9
"Theo Walcott";"bench";"Right Wing";9
"Olivier Giroud";"bench";"Centre-Forward";9
"Petr Cech";"starting";"Keeper";10
"Per Mertesacker";"starting";"Centre-Back";10
"Laurent Koscielny";"starting";"Centre-Back";10
"Nacho Monreal";"starting";"Centre-Back";10
"Granit Xhaka";"starting";"Defensive Midfield";10
"Aaron Ramsey";"starting";"Defensive Midfield";10
"Héctor Bellerín";"starting";"Right Midfield";10
"Sead Kolasinac";"starting";"Left Midfield";10
"Mesut Özil";"starting";"Attacking Midfield";10
"Alexis Sánchez";"starting";"Attacking Midfield";10
"Alexandre Lacazette";"starting";"Centre-Forward";10
"Matt Macey";"bench";"Keeper";10
"Rob Holding";"bench";"Centre-Back";10
"Francis Coquelin";"bench";"Defensive Midfield";10
"Jack Wilshere";"bench";"Central Midfield";10
"Alex Iwobi";"bench";"Left Wing";10
"Theo Walcott";"bench";"Right Wing";10
"Olivier Giroud";"bench";"Centre-Forward";10
"Petr Cech";"starting";"Keeper";11
"Laurent Koscielny";"starting";"Centre-Back";11
"Nacho Monreal";"starting";"Centre-Back";11
"Francis Coquelin";"starting";"Centre-Back";11
"Granit Xhaka";"starting";"Defensive Midfield";11
"Aaron Ramsey";"starting";"Defensive Midfield";11
"Héctor Bellerín";"starting";"Right Midfield";11
"Sead Kolasinac";"starting";"Left Midfield";11
