"player";"lineup";"post";"matchday"
"Granit Xhaka";"starting";"Defensive Midfield";8
"Santi Cazorla";"starting";"Central Midfield";8
"Mesut Özil";"starting";"Attacking Midfield";8
"Alex Iwobi";"starting";"Left Wing";8
"Theo Walcott";"starting";"Right Wing";8
"Alexis Sánchez";"starting";"Centre-Forward";8
"David Ospina";"bench";"Keeper";8
"Gabriel Paulista";"bench";"Centre-Back";8
"Kieran Gibbs";"bench";"Left Midfield";8
"Francis Coquelin";"bench";"Defensive Midfield";8
"Mohamed Elneny";"bench";"Defensive Midfield";8
"Alex Oxlade-Chamberlain";"bench";"Right Midfield";8
"Lucas Pérez";"bench";"Centre-Forward";8
"Petr Cech";"starting";"Keeper";9
"Laurent Koscielny";"starting";"Centre-Back";9
"Shkodran Mustafi";"starting";"Centre-Back";9
"Nacho Monreal";"starting";"Left-Back";9
"Héctor Bellerín";"starting";"Right-Back";9
"Francis Coquelin";"starting";"Defensive Midfield";9
"Mohamed Elneny";"starting";"Defensive Midfield";9
"Mesut Özil";"starting";"Attacking Midfield";9
"Alex Iwobi";"starting";"Left Wing";9
"Theo Walcott";"starting";"Right Wing";9
"Alexis Sánchez";"starting";"Centre-Forward";9
"David Ospina";"bench";"Keeper";9
"Gabriel Paulista";"bench";"Centre-Back";9
"Kieran Gibbs";"bench";"Left-Back";9
"Jeff Reine-Adelaide";"bench";"Central Midfield";9
"Alex Oxlade-Chamberlain";"bench";"Right Midfield";9
"Ainsley Maitland-Niles";"bench";"Right Midfield";9
"Lucas Pérez";"bench";"Centre-Forward";9
"Petr Cech";"starting";"Keeper";10
"Laurent Koscielny";"starting";"Centre-Back";10
"Shkodran Mustafi";"starting";"Centre-Back";10
"Kieran Gibbs";"starting";"Left-Back";10
"Héctor Bellerín";"starting";"Right-Back";10
"Francis Coquelin";"starting";"Defensive Midfield";10
"Mohamed Elneny";"starting";"Defensive Midfield";10
"Alex Oxlade-Chamberlain";"starting";"Right Midfield";10
"Mesut Özil";"starting";"Attacking Midfield";10
"Alex Iwobi";"starting";"Left Wing";10
"Alexis Sánchez";"starting";"Centre-Forward";10
"David Ospina";"bench";"Keeper";10
"Gabriel Paulista";"bench";"Centre-Back";10
"Rob Holding";"bench";"Centre-Back";10
"Carl Jenkinson";"bench";"Right-Back";10
"Aaron Ramsey";"bench";"Central Midfield";10
"Ainsley Maitland-Niles";"bench";"Right Midfield";10
"Olivier Giroud";"bench";"Centre-Forward";10
"Petr Cech";"starting";"Keeper";11
"Laurent Koscielny";"starting";"Centre-Back";11
"Shkodran Mustafi";"starting";"Centre-Back";11
"Nacho Monreal";"starting";"Left-Back";11
"Héctor Bellerín";"starting";"Right-Back";11
"Francis Coquelin";"starting";"Defensive Midfield";11
"Granit Xhaka";"starting";"Central Midfield";11
"Mesut Özil";"starting";"Attacking Midfield";11
"Alex Iwobi";"starting";"Left Wing";11
"Theo Walcott";"starting";"Right Wing";11
"Alexis Sánchez";"starting";"Centre-Forward";11
"David Ospina";"bench";"Keeper";11
"Gabriel Paulista";"bench";"Centre-Back";11
"Kieran Gibbs";"bench";"Left-Back";11
"Mohamed Elneny";"bench";"Defensive Midfield";11
"Aaron Ramsey";"bench";"Right Midfield";11
"Alex Oxlade-Chamberlain";"bench";"Central Midfield";11
"Olivier Giroud";"bench";"Centre-Forward";11
"Petr Cech";"starting";"Keeper";12
"Laurent Koscielny";"starting";"Centre-Back";12
"Shkodran Mustafi";"starting";"Centre-Back";12
"Nacho Monreal";"starting";"Left-Back";12
"Carl Jenkinson";"starting";"Right-Back";12
"Francis Coquelin";"starting";"Defensive Midfield";12
"Mohamed Elneny";"starting";"Defensive Midfield";12
"Aaron Ramsey";"starting";"Left Midfield";12
"Mesut Özil";"starting";"Attacking Midfield";12
"Theo Walcott";"starting";"Right Wing";12
"Alexis Sánchez";"starting";"Centre-Forward";12
"David Ospina";"bench";"Keeper";12
"Gabriel Paulista";"bench";"Centre-Back";12
"Kieran Gibbs";"bench";"Left-Back";12
"Granit Xhaka";"bench";"Defensive Midfield";12
"Alex Oxlade-Chamberlain";"bench";"Right-Back";12
"Alex Iwobi";"bench";"Left Wing";12
"Olivier Giroud";"bench";"Centre-Forward";12
"Petr Cech";"starting";"Keeper";13
"Laurent Koscielny";"starting";"Centre-Back";13
"Shkodran Mustafi";"starting";"Centre-Back";13
"Nacho Monreal";"starting";"Left-Back";13
"Mathieu Debuchy";"starting";"Right-Back";13
"Granit Xhaka";"starting";"Defensive Midfield";13
"Mohamed Elneny";"starting";"Defensive Midfield";13
"Alex Oxlade-Chamberlain";"starting";"Left Midfield";13
"Mesut Özil";"starting";"Attacking Midfield";13
"Theo Walcott";"starting";"Right Wing";13
"Alexis Sánchez";"starting";"Centre-Forward";13
"David Ospina";"bench";"Keeper";13
"Gabriel Paulista";"bench";"Right-Back";13
"Kieran Gibbs";"bench";"Left-Back";13
"Francis Coquelin";"bench";"Defensive Midfield";13
"Aaron Ramsey";"bench";"Attacking Midfield";13
"Alex Iwobi";"bench";"Left Wing";13
"Olivier Giroud";"bench";"Centre-Forward";13
"Petr Cech";"starting";"Keeper";14
"Laurent Koscielny";"starting";"Centre-Back";14
"Shkodran Mustafi";"starting";"Centre-Back";14
"Nacho Monreal";"starting";"Left-Back";14
"Gabriel Paulista";"starting";"Right-Back";14
"Granit Xhaka";"starting";"Defensive Midfield";14
"Francis Coquelin";"starting";"Defensive Midfield";14
"Alex Oxlade-Chamberlain";"starting";"Left Midfield";14
"Mesut Özil";"starting";"Attacking Midfield";14
"Theo Walcott";"starting";"Right Wing";14
"Alexis Sánchez";"starting";"Centre-Forward";14
"David Ospina";"bench";"Keeper";14
"Rob Holding";"bench";"Centre-Back";14
"Kieran Gibbs";"bench";"Left-Back";14
"Mohamed Elneny";"bench";"Defensive Midfield";14
"Aaron Ramsey";"bench";"Central Midfield";14
"Alex Iwobi";"bench";"Left Wing";14
"Lucas Pérez";"bench";"Centre-Forward";14
"Petr Cech";"starting";"Keeper";15
"Laurent Koscielny";"starting";"Centre-Back";15
"Shkodran Mustafi";"starting";"Centre-Back";15
"Nacho Monreal";"starting";"Left-Back";15
"Gabriel Paulista";"starting";"Right-Back";15
"Francis Coquelin";"starting";"Defensive Midfield";15
"Granit Xhaka";"starting";"Central Midfield";15
"Alex Oxlade-Chamberlain";"starting";"Left Midfield";15
"Mesut Özil";"starting";"Attacking Midfield";15
"Theo Walcott";"starting";"Right Wing";15
"Alexis Sánchez";"starting";"Centre-Forward";15
"David Ospina";"bench";"Keeper";15
"Kieran Gibbs";"bench";"Left-Back";15
"Héctor Bellerín";"bench";"Right-Back";15
"Mohamed Elneny";"bench";"Defensive Midfield";15
"Alex Iwobi";"bench";"Left Wing";15
"Lucas Pérez";"bench";"Centre-Forward";15
"Olivier Giroud";"bench";"Centre-Forward";15
"Petr Cech";"starting";"Keeper";16
"Gabriel Paulista";"starting";"Centre-Back";16
"Laurent Koscielny";"starting";"Centre-Back";16
"Nacho Monreal";"starting";"Left-Back";16
"Héctor Bellerín";"starting";"Right-Back";16
"Granit Xhaka";"starting";"Defensive Midfield";16
"Francis Coquelin";"starting";"Defensive Midfield";16
"Alex Oxlade-Chamberlain";"starting";"Left Midfield";16
