"player";"lineup";"post";"matchday"
"Jean Michaël Seri";"starting";"Central Midfield";8
"Wylan Cyprien";"starting";"Central Midfield";8
"Ricardo Pereira";"starting";"Right Midfield";8
"Dalbert";"starting";"Left Midfield";8
"Younès Belhanda";"starting";"Secondary Striker";8
"Mario Balotelli";"starting";"Centre-Forward";8
"Mouez Hassen";"bench";"Keeper";8
"Arnaud Souquet";"bench";"Right-Back";8
"Rémi Walter";"bench";"Defensive Midfield";8
"Vincent Koziello";"bench";"Central Midfield";8
"Valentin Eysseric";"bench";"Attacking Midfield";8
"Anastasios Donis";"bench";"Centre-Forward";8
"Alassane Pléa";"bench";"Centre-Forward";8
"Yoan Cardinale";"starting";"Keeper";9
"Dante";"starting";"Centre-Back";9
"Malang Sarr";"starting";"Centre-Back";9
"Paul Baysse";"starting";"Centre-Back";9
"Rémi Walter";"starting";"Defensive Midfield";9
"Jean Michaël Seri";"starting";"Central Midfield";9
"Wylan Cyprien";"starting";"Central Midfield";9
"Ricardo Pereira";"starting";"Right Midfield";9
"Dalbert";"starting";"Left Midfield";9
"Younès Belhanda";"starting";"Secondary Striker";9
"Mario Balotelli";"starting";"Centre-Forward";9
"Mouez Hassen";"bench";"Keeper";9
"Mathieu Bodmer";"bench";"Centre-Back";9
"Arnaud Souquet";"bench";"Right-Back";9
"Vincent Koziello";"bench";"Central Midfield";9
"Valentin Eysseric";"bench";"Attacking Midfield";9
"Anastasios Donis";"bench";"Centre-Forward";9
"Alassane Pléa";"bench";"Centre-Forward";9
"Yoan Cardinale";"starting";"Keeper";10
"Dante";"starting";"Centre-Back";10
"Malang Sarr";"starting";"Centre-Back";10
"Ricardo Pereira";"starting";"Left-Back";10
"Arnaud Souquet";"starting";"Right-Back";10
"Rémi Walter";"starting";"Defensive Midfield";10
"Jean Michaël Seri";"starting";"Central Midfield";10
"Wylan Cyprien";"starting";"Right Midfield";10
"Younès Belhanda";"starting";"Attacking Midfield";10
"Valentin Eysseric";"starting";"Left Wing";10
"Alassane Pléa";"starting";"Centre-Forward";10
"Mouez Hassen";"bench";"Keeper";10
"Mathieu Bodmer";"bench";"Centre-Back";10
"Olivier Boscagli";"bench";"Left-Back";10
"Patrick Burner";"bench";"Right-Back";10
