"player";"lineup";"matchday"
"Kieran Gibbs ";"bench";11
"Mohamed Elneny ";"bench";11
"Aaron Ramsey ";"bench";11
"Alex Oxlade-Chamberlain ";"bench";11
"Olivier Giroud ";"bench";11
"David de Gea ";"player";12
"Marcos Rojo ";"player";12
"Phil Jones ";"player";12
"Matteo Darmian ";"player";12
"Antonio Valencia ";"player";12
"Michael Carrick  ";"player";12
"Paul Pogba ";"player";12
"Ander Herrera ";"player";12
"Anthony Martial ";"player";12
"Juan Mata ";"player";12
"Marcus Rashford ";"player";12
"Sergio Romero ";"bench";12
"Daley Blind ";"bench";12
"Morgan Schneiderlin ";"bench";12
"Ashley Young ";"bench";12
"Memphis Depay ";"bench";12
"Jesse Lingard ";"bench";12
"Wayne Rooney ";"bench";12
"Petr Cech ";"player";13
"Laurent Koscielny  ";"player";13
"Shkodran Mustafi ";"player";13
"Nacho Monreal ";"player";13
"Mathieu Debuchy ";"player";13
"Granit Xhaka ";"player";13
"Mohamed Elneny ";"player";13
"Alex Oxlade-Chamberlain ";"player";13
"Mesut Özil ";"player";13
"Theo Walcott ";"player";13
"Alexis Sánchez ";"player";13
"David Ospina ";"bench";13
"Gabriel Paulista ";"bench";13
"Kieran Gibbs ";"bench";13
"Francis Coquelin ";"bench";13
"Aaron Ramsey ";"bench";13
"Alex Iwobi ";"bench";13
"Olivier Giroud ";"bench";13
"Darren Randolph ";"player";14
"Angelo Ogbonna ";"player";14
"Winston Reid ";"player";14
"James Collins ";"player";14
"Pedro Obiang ";"player";14
"Mark Noble  ";"player";14
"Edimilson Fernandes ";"player";14
"Arthur Masuaku ";"player";14
"Manuel Lanzini ";"player";14
"Dimitri Payet ";"player";14
"Ashley Fletcher ";"player";14
"Adrián ";"bench";14
"Álvaro Arbeloa ";"bench";14
"Havard Nordtveit ";"bench";14
"André Ayew ";"bench";14
"Sofiane Feghouli ";"bench";14
"Andy Carroll ";"bench";14
"Simone Zaza ";"bench";14
"Petr Cech ";"player";15
"Laurent Koscielny  ";"player";15
"Shkodran Mustafi ";"player";15
"Nacho Monreal ";"player";15
"Gabriel Paulista ";"player";15
"Francis Coquelin ";"player";15
"Granit Xhaka ";"player";15
"Alex Oxlade-Chamberlain ";"player";15
"Mesut Özil ";"player";15
"Theo Walcott ";"player";15
"Alexis Sánchez ";"player";15
"David Ospina ";"bench";15
"Kieran Gibbs ";"bench";15
"Héctor Bellerín ";"bench";15
"Mohamed Elneny ";"bench";15
"Alex Iwobi ";"bench";15
"Lucas Pérez ";"bench";15
"Olivier Giroud ";"bench";15
"Maarten Stekelenburg ";"player";16
"Ashley Williams ";"player";16
"Phil Jagielka  ";"player";16
"Leighton Baines ";"player";16
"Seamus Coleman ";"player";16
"Idrissa Gueye ";"player";16
"Ross Barkley ";"player";16
"James McCarthy ";"player";16
"Aaron Lennon ";"player";16
"Enner Valencia ";"player";16
"Romelu Lukaku ";"player";16
"Joel Robles ";"bench";16
"Ramiro Funes Mori ";"bench";16
"Mason Holgate ";"bench";16
"Tom Cleverley ";"bench";16
"Gerard Deulofeu ";"bench";16
"Kevin Mirallas ";"bench";16
"Dominic Calvert-Lewin ";"bench";16
"Claudio Bravo ";"player";17
"Nicolás Otamendi ";"player";17
"Aleksandar Kolarov ";"player";17
"Gaël Clichy ";"player";17
"Pablo Zabaleta  ";"player";17
"Fernando ";"player";17
"Yaya Touré ";"player";17
"David Silva ";"player";17
"Kevin De Bruyne ";"player";17
"Leroy Sané ";"player";17
"Raheem Sterling ";"player";17
"Willy Caballero ";"bench";17
"John Stones ";"bench";17
"Bacary Sagna ";"bench";17
"Aleix García ";"bench";17
"Nolito ";"bench";17
"Jesús Navas ";"bench";17
"Kelechi Iheanacho ";"bench";17
"Petr Cech ";"player";18
"Gabriel Paulista ";"player";18
"Laurent Koscielny  ";"player";18
"Kieran Gibbs ";"player";18
"Héctor Bellerín ";"player";18
"Granit Xhaka ";"player";18
"Francis Coquelin ";"player";18
"Mesut Özil ";"player";18
"Alexis Sánchez ";"player";18
"Alex Iwobi ";"player";18
