"player";"post";"lineup";"matchday"
"Heung-Min Son";"Left Wing";"starting";33
"Harry Kane";"Centre-Forward";"starting";33
"Pau López";"Keeper";"bench";33
"Kevin Wimmer";"Centre-Back";"bench";33
"Kieran Trippier";"Right-Back";"bench";33
"Victor Wanyama";"Defensive Midfield";"bench";33
"Moussa Sissoko";"Right Midfield";"bench";33
"Josh Onomah";"Attacking Midfield";"bench";33
"Vincent Janssen";"Centre-Forward";"bench";33
"Hugo Lloris";"Keeper";"starting";34
"Jan Vertonghen";"Centre-Back";"starting";34
"Toby Alderweireld";"Centre-Back";"starting";34
"Eric Dier";"Centre-Back";"starting";34
"Victor Wanyama";"Defensive Midfield";"starting";34
"Mousa Dembélé";"Defensive Midfield";"starting";34
"Moussa Sissoko";"Right Midfield";"starting";34
"Ben Davies";"Left Midfield";"starting";34
"Dele Alli";"Attacking Midfield";"starting";34
"Heung-Min Son";"Secondary Striker";"starting";34
"Harry Kane";"Centre-Forward";"starting";34
"Michel Vorm";"Keeper";"bench";34
"Kevin Wimmer";"Centre-Back";"bench";34
"Filip Lesniak";"Defensive Midfield";"bench";34
"Christian Eriksen";"Attacking Midfield";"bench";34
"Georges-Kevin N'Koudou";"Left Wing";"bench";34
"Samuel Shashoua";"Right Wing";"bench";34
"Vincent Janssen";"Centre-Forward";"bench";34
"Hugo Lloris";"Keeper";"starting";35
"Jan Vertonghen";"Centre-Back";"starting";35
"Toby Alderweireld";"Centre-Back";"starting";35
"Ben Davies";"Left-Back";"starting";35
"Kieran Trippier";"Right-Back";"starting";35
"Victor Wanyama";"Defensive Midfield";"starting";35
"Eric Dier";"Defensive Midfield";"starting";35
"Christian Eriksen";"Right Midfield";"starting";35
"Dele Alli";"Left Midfield";"starting";35
"Heung-Min Son";"Secondary Striker";"starting";35
"Harry Kane";"Centre-Forward";"starting";35
"Michel Vorm";"Keeper";"bench";35
"Kevin Wimmer";"Centre-Back";"bench";35
"Kyle Walker";"Right-Back";"bench";35
"Mousa Dembélé";"Central Midfield";"bench";35
"Moussa Sissoko";"Central Midfield";"bench";35
"Georges-Kevin N'Koudou";"Left Wing";"bench";35
"Vincent Janssen";"Centre-Forward";"bench";35
"Hugo Lloris";"Keeper";"starting";36
"Jan Vertonghen";"Centre-Back";"starting";36
"Toby Alderweireld";"Centre-Back";"starting";36
"Ben Davies";"Left-Back";"starting";36
"Kyle Walker";"Right-Back";"starting";36
"Victor Wanyama";"Defensive Midfield";"starting";36
"Eric Dier";"Defensive Midfield";"starting";36
"Dele Alli";"Left Midfield";"starting";36
"Christian Eriksen";"Attacking Midfield";"starting";36
"Heung-Min Son";"Right Wing";"starting";36
"Harry Kane";"Centre-Forward";"starting";36
"Michel Vorm";"Keeper";"bench";36
"Kevin Wimmer";"Centre-Back";"bench";36
"Kieran Trippier";"Right-Back";"bench";36
"Mousa Dembélé";"Defensive Midfield";"bench";36
"Moussa Sissoko";"Central Midfield";"bench";36
"Georges-Kevin N'Koudou";"Left Wing";"bench";36
"Vincent Janssen";"Centre-Forward";"bench";36
"Hugo Lloris";"Keeper";"starting";37
"Jan Vertonghen";"Centre-Back";"starting";37
"Toby Alderweireld";"Centre-Back";"starting";37
"Ben Davies";"Left-Back";"starting";37
"Kieran Trippier";"Right-Back";"starting";37
"Eric Dier";"Defensive Midfield";"starting";37
"Victor Wanyama";"Central Midfield";"starting";37
"Dele Alli";"Left Midfield";"starting";37
"Christian Eriksen";"Attacking Midfield";"starting";37
"Heung-Min Son";"Right Wing";"starting";37
"Harry Kane";"Centre-Forward";"starting";37
"Michel Vorm";"Keeper";"bench";37
"Kevin Wimmer";"Centre-Back";"bench";37
"Kyle Walker";"Right-Back";"bench";37
"Mousa Dembélé";"Left Midfield";"bench";37
"Moussa Sissoko";"Central Midfield";"bench";37
"Georges-Kevin N'Koudou";"Left Wing";"bench";37
"Vincent Janssen";"Centre-Forward";"bench";37
"Hugo Lloris";"Keeper";"starting";38
"Jan Vertonghen";"Centre-Back";"starting";38
"Toby Alderweireld";"Centre-Back";"starting";38
"Ben Davies";"Left-Back";"starting";38
"Kieran Trippier";"Right-Back";"starting";38
"Victor Wanyama";"Defensive Midfield";"starting";38
"Eric Dier";"Defensive Midfield";"starting";38
"Christian Eriksen";"Right Midfield";"starting";38
"Dele Alli";"Attacking Midfield";"starting";38
"Heung-Min Son";"Left Wing";"starting";38
"Harry Kane";"Centre-Forward";"starting";38
"Michel Vorm";"Keeper";"bench";38
"Kevin Wimmer";"Centre-Back";"bench";38
"Filip Lesniak";"Defensive Midfield";"bench";38
"Mousa Dembélé";"Central Midfield";"bench";38
"Moussa Sissoko";"Right Midfield";"bench";38
"Georges-Kevin N'Koudou";"Left Wing";"bench";38
"Vincent Janssen";"Centre-Forward";"bench";38
