"player";"post";"lineup";"matchday"
"Érik Lamela";"Left Wing";"starting";8
"Vincent Janssen";"Centre-Forward";"starting";8
"Michel Vorm";"Keeper";"bench";8
"Kieran Trippier";"Right-Back";"bench";8
"Eric Dier";"Centre-Back";"bench";8
"Mousa Dembélé";"Central Midfield";"bench";8
"Josh Onomah";"Attacking Midfield";"bench";8
"Heung-Min Son";"Left Wing";"bench";8
"Georges-Kevin N'Koudou";"Left Wing";"bench";8
"Hugo Lloris";"Keeper";"starting";9
"Jan Vertonghen";"Centre-Back";"starting";9
"Eric Dier";"Centre-Back";"starting";9
"Danny Rose";"Left-Back";"starting";9
"Kyle Walker";"Right-Back";"starting";9
"Victor Wanyama";"Defensive Midfield";"starting";9
"Mousa Dembélé";"Central Midfield";"starting";9
"Christian Eriksen";"Left Midfield";"starting";9
"Dele Alli";"Attacking Midfield";"starting";9
"Érik Lamela";"Right Wing";"starting";9
"Heung-Min Son";"Centre-Forward";"starting";9
"Michel Vorm";"Keeper";"bench";9
"Kevin Wimmer";"Centre-Back";"bench";9
"Ben Davies";"Left-Back";"bench";9
"Kieran Trippier";"Right-Back";"bench";9
"Moussa Sissoko";"Right Midfield";"bench";9
"Harry Winks";"Central Midfield";"bench";9
"Vincent Janssen";"Centre-Forward";"bench";9
"Hugo Lloris";"Keeper";"starting";10
"Jan Vertonghen";"Centre-Back";"starting";10
"Eric Dier";"Centre-Back";"starting";10
"Danny Rose";"Left-Back";"starting";10
"Kyle Walker";"Right-Back";"starting";10
"Victor Wanyama";"Defensive Midfield";"starting";10
"Mousa Dembélé";"Central Midfield";"starting";10
"Christian Eriksen";"Left Midfield";"starting";10
"Dele Alli";"Attacking Midfield";"starting";10
"Heung-Min Son";"Right Wing";"starting";10
"Vincent Janssen";"Centre-Forward";"starting";10
"Michel Vorm";"Keeper";"bench";10
"Cameron Carter-Vickers";"Centre-Back";"bench";10
"Ben Davies";"Left-Back";"bench";10
"Kieran Trippier";"Right-Back";"bench";10
"Harry Winks";"Defensive Midfield";"bench";10
"Josh Onomah";"Attacking Midfield";"bench";10
"Georges-Kevin N'Koudou";"Left Wing";"bench";10
"Hugo Lloris";"Keeper";"starting";11
"Jan Vertonghen";"Centre-Back";"starting";11
"Kevin Wimmer";"Centre-Back";"starting";11
"Eric Dier";"Centre-Back";"starting";11
"Danny Rose";"Left-Back";"starting";11
"Kyle Walker";"Right-Back";"starting";11
"Victor Wanyama";"Defensive Midfield";"starting";11
"Mousa Dembélé";"Defensive Midfield";"starting";11
"Christian Eriksen";"Attacking Midfield";"starting";11
"Heung-Min Son";"Centre-Forward";"starting";11
"Harry Kane";"Centre-Forward";"starting";11
"Michel Vorm";"Keeper";"bench";11
"Cameron Carter-Vickers";"Centre-Back";"bench";11
"Kieran Trippier";"Right-Back";"bench";11
"Harry Winks";"Central Midfield";"bench";11
"Josh Onomah";"Attacking Midfield";"bench";11
"Georges-Kevin N'Koudou";"Left Wing";"bench";11
"Vincent Janssen";"Centre-Forward";"bench";11
"Hugo Lloris";"Keeper";"starting";12
"Jan Vertonghen";"Centre-Back";"starting";12
"Eric Dier";"Centre-Back";"starting";12
"Danny Rose";"Left-Back";"starting";12
"Kyle Walker";"Right-Back";"starting";12
"Victor Wanyama";"Defensive Midfield";"starting";12
"Mousa Dembélé";"Central Midfield";"starting";12
"Harry Winks";"Central Midfield";"starting";12
"Christian Eriksen";"Attacking Midfield";"starting";12
"Harry Kane";"Secondary Striker";"starting";12
"Vincent Janssen";"Centre-Forward";"starting";12
"Michel Vorm";"Keeper";"bench";12
"Kevin Wimmer";"Centre-Back";"bench";12
