Team,Player,Age,Mins,Goals,Assists,Age-group,GoalsPer90,AssistsPer90
West Bromwich,Jonathan Leko ,18,111,0,1,<24,0,"0,8108108108"
West Bromwich,Saido Berahino ,24,245,0,0,24-30,0,0
West Ham,Dimitri Payet,30,1515,2,6,24-30,"0,1188118812","0,3564356436"
West Ham,Andy Carroll,28,1314,7,1,24-30,"0,4794520548","0,06849315068"
West Ham,Michail Antonio,27,2440,9,3,24-30,"0,3319672131","0,1106557377"
West Ham,Arthur Masuaku,23,972,0,1,<24,0,"0,09259259259"
West Ham,Manuel Lanzini,24,2716,8,2,24-30,"0,265095729","0,06627393225"
West Ham,Winston Reid,29,2590,2,2,24-30,"0,0694980695","0,0694980695"
West Ham,Cheikhou Kouyaté,27,2728,1,0,24-30,"0,03299120235",0
West Ham,James Collins,34,1654,2,0,31+,"0,1088270859",0
West Ham,José Fonte,33,1405,0,0,31+,0,0
West Ham,Pedro Obiang,25,1767,1,1,24-30,"0,05093378608","0,05093378608"
West Ham,Angelo Ogbonna,29,1756,0,0,24-30,0,0
West Ham,Adrián,30,1440,0,0,24-30,0,0
West Ham,Darren Randolph,30,1980,0,0,24-30,0,0
West Ham,Sofiane Feghouli,27,1040,3,3,24-30,"0,2596153846","0,2596153846"
West Ham,André Ayew,27,1442,6,3,24-30,"0,374479889","0,1872399445"
West Ham,Mark Noble,30,2399,3,0,24-30,"0,1125468945",0
West Ham,Sam Byram,24,1248,0,1,24-30,0,"0,07211538462"
West Ham,Álvaro Arbeloa,34,256,0,0,31+,0,0
West Ham,Håvard Nordtveit,27,956,0,1,24-30,0,"0,09414225941"
West Ham,Aaron Cresswell,27,2118,0,2,24-30,0,"0,08498583569"
West Ham,Robert Snodgrass,30,838,0,2,24-30,0,"0,214797136"
West Ham,Diafra Sakho,27,181,1,0,24-30,"0,4972375691",0
West Ham,Simone Zaza,26,461,0,0,24-30,0,0
West Ham,Gökhan Töre,25,241,0,1,24-30,0,"0,3734439834"
West Ham,Enner Valencia,27,213,0,0,24-30,0,0
West Ham,Edimilson Fernandes,21,988,0,0,<24,0,0
West Ham,Jonathan Calleri,24,537,1,0,24-30,"0,1675977654",0
West Ham,Ashley Fletcher,22,354,0,0,<24,0,0
West Ham,Declan Rice,18,1,0,0,<24,0,0
Hull City,Harry Maguire,24,2307,2,2,24-30,"0,07802340702","0,07802340702"
Hull City,Robert Snodgrass,30,1712,7,3,24-30,"0,3679906542","0,1577102804"
Hull City,Curtis Davies,32,2139,0,2,31+,0,"0,08415147265"
Hull City,Andrea Ranocchia,29,1330,2,2,24-30,"0,1353383459","0,1353383459"
Hull City,Lazar Markovic,23,1013,2,0,<24,"0,1776900296",0
Hull City,Jake Livermore,27,1673,1,1,24-30,"0,05379557681","0,05379557681"
Hull City,Andrew Robertson,23,2737,1,2,<24,"0,0328827183","0,06576543661"
Hull City,Sam Clucas,27,3190,3,1,24-30,"0,08463949843","0,02821316614"
Hull City,Eldin Jakupovic,33,1980,0,0,31+,0,0
Hull City,Michael Dawson,33,1721,3,0,31+,"0,1568855317",0
Hull City,Kamil Grosicki,29,1147,0,3,24-30,0,"0,235396687"
Hull City,Ahmed El Mohamady,30,2520,0,2,24-30,0,"0,07142857143"
Hull City,Shaun Maloney,34,279,1,2,31+,"0,3225806452","0,6451612903"
Hull City,Alfred N'Diaye,27,1277,1,0,24-30,"0,07047768207",0
Hull City,Tom Huddlestone,30,2025,1,0,24-30,"0,04444444444",0
Hull City,Dieudonne Mbokani Bezua,31,763,0,1,31+,0,"0,1179554391"
Hull City,Adama Diomande,27,1170,2,0,24-30,"0,1538461538",0
Hull City,David Marshall,32,1440,0,0,31+,0,0
Hull City,Abel Hernández,27,1428,4,3,24-30,"0,2521008403","0,1890756303"
Hull City,David Meyler,28,954,1,0,24-30,"0,09433962264",0
Hull City,Evandro,31,578,0,0,31+,0,0
Hull City,Oumar Niasse,27,1095,4,1,24-30,"0,3287671233","0,08219178082"
Hull City,Josh Tymon,18,325,0,0,<24,0,0
Hull City,Ryan Mason,26,929,1,0,24-30,"0,09687836383",0
Hull City,Omar Elabdellaoui,25,616,0,0,24-30,0,0
Hull City,Markus Henriksen,25,634,0,0,24-30,0,0
Hull City,Jarrod Bowen,20,178,0,0,<24,0,0
Hull City,Will Keane,24,282,0,0,24-30,0,0
Middlesbrough,Calum Chambers,22,2160,1,1,<24,"0,04166666667","0,04166666667"
Middlesbrough,Adama Traoré,21,1537,0,1,<24,0,"0,05855562785"
Middlesbrough,George Friend,29,1960,0,2,24-30,0,"0,09183673469"
Middlesbrough,Antonio Barragán,30,2196,0,0,24-30,0,0
Middlesbrough,Álvaro Negredo,32,2880,9,4,31+,"0,28125","0,125"
Middlesbrough,Gastón Ramírez,26,1550,2,3,24-30,"0,1161290323","0,1741935484"
Middlesbrough,Fabio,27,1849,0,0,24-30,0,0
Middlesbrough,Bernardo Espinosa,28,975,0,0,24-30,0,0
Middlesbrough,Ben Gibson,24,3420,1,1,24-30,"0,02631578947","0,02631578947"
Middlesbrough,Adam Clayton,28,2806,0,2,24-30,0,"0,06414825374"
Middlesbrough,Daniel Ayala,26,917,1,0,24-30,"0,09814612868",0
Middlesbrough,Víctor Valdés,35,2520,0,0,31+,0,0
Middlesbrough,Marten de Roon,26,2777,4,0,24-30,"0,1296362982",0
Middlesbrough,Nsue,28,322,0,0,24-30,0,0
Middlesbrough,Adam Forshaw,26,2700,0,1,24-30,0,"0,03333333333"
Middlesbrough,Cristhian Stuani,30,1362,4,0,24-30,"0,2643171806",0
Middlesbrough,Stewart Downing,33,2212,1,3,31+,"0,04068716094","0,1220614828"
Middlesbrough,Rudy Gestede,28,525,1,0,24-30,"0,1714285714",0
Middlesbrough,Brad Guzan,33,900,0,0,31+,0,0
Middlesbrough,Adlène Guédioura,31,136,0,0,31+,0,0
Middlesbrough,Grant Leadbitter,31,708,1,0,31+,"0,1271186441",0
Middlesbrough,Viktor Fischer,23,439,0,3,<24,0,"0,6150341686"
Middlesbrough,Patrick Bamford,24,281,1,0,24-30,"0,3202846975",0
Middlesbrough,Albert Adomah,29,121,0,0,24-30,0,0
Middlesbrough,Jordan Rhodes,27,208,0,0,24-30,0,0
Middlesbrough,David Nugent,32,40,0,0,31+,0,0
Middlesbrough,James Husband,23,59,0,0,<24,0,0
Sunderland,Younes Kaboul,31,90,0,0,31+,0,0
Sunderland,Jordan Pickford,23,2610,0,0,<24,0,0
Sunderland,Papy Djilobodji,28,1577,0,0,24-30,0,0
Sunderland,Bryan Oviedo,27,849,0,0,24-30,0,0
Sunderland,Patrick van Aanholt,27,1784,3,1,24-30,"0,1513452915","0,05044843049"
Sunderland,Victor Anichebe,29,1217,3,0,24-30,"0,2218570255",0
Sunderland,Billy Jones,30,2271,1,0,24-30,"0,03963011889",0
Sunderland,Lamine Koné,28,2545,1,0,24-30,"0,03536345776",0
Sunderland,Didier Ndong,23,2519,1,0,<24,"0,03572846368",0
Sunderland,Vito Mannone,29,810,0,0,24-30,0,0
Sunderland,Jack Rodwell,26,1493,0,1,24-30,0,"0,06028131279"
Sunderland,Donald Love,22,607,0,1,<24,0,"0,1482701812"
Sunderland,Jermain Defoe,35,3323,15,2,31+,"0,4062594042","0,05416792055"
Sunderland,Duncan Watmore,23,1030,0,2,<24,0,"0,1747572816"
Sunderland,John O'Shea,36,2161,0,1,31+,0,"0,04164738547"
Sunderland,Jason Denayer,22,1880,0,0,<24,0,0
Sunderland,Fabio Borini,26,1741,2,0,24-30,"0,103388857",0
Sunderland,Adnan Januzaj,22,1630,0,3,<24,0,"0,1656441718"
Sunderland,Javier Manquillo,23,1428,1,0,<24,"0,06302521008",0
Sunderland,George Honeyman,23,233,0,0,<24,0,0
Sunderland,Lee Cattermole,29,640,0,0,24-30,0,0
Sunderland,Sebastian Larsson,32,1471,0,1,31+,0,"0,0611828688"
Sunderland,Jeremain Lens,29,68,0,0,24-30,0,0
Sunderland,Jan Kirchhoff,27,436,0,0,24-30,0,0
Sunderland,Darron Gibson,29,641,0,0,24-30,0,0
Sunderland,Wahbi Khazri,26,839,1,0,24-30,"0,1072705602",0
Sunderland,Steven Pienaar,35,809,0,0,31+,0,0
Sunderland,Lynden Gooch,21,365,0,0,<24,0,0
Sunderland,Paddy McNair,22,355,0,0,<24,0,0
Sunderland,Joleon Lescott,35,123,0,0,31+,0,0
Sunderland,Joel Asoro,18,9,0,0,<24,0,0
