"player";"lineup";"post";"matchday"
"Kelechi Iheanacho";"starting";"Centre-Forward";8
"Willy Caballero";"bench";"Keeper";8
"Vincent Kompany";"bench";"Centre-Back";8
"Aleksandar Kolarov";"bench";"Left-Back";8
"Pablo Zabaleta";"bench";"Right-Back";8
"Fernando";"bench";"Defensive Midfield";8
"Nolito";"bench";"Left Midfield";8
"Sergio Agüero";"bench";"Centre-Forward";8
"Claudio Bravo";"starting";"Keeper";9
"Vincent Kompany";"starting";"Centre-Back";9
"John Stones";"starting";"Centre-Back";9
"Aleksandar Kolarov";"starting";"Centre-Back";9
"Fernandinho";"starting";"Defensive Midfield";9
"Ilkay Gündogan";"starting";"Defensive Midfield";9
"Leroy Sané";"starting";"Right Midfield";9
"David Silva";"starting";"Left Midfield";9
"Kevin De Bruyne";"starting";"Attacking Midfield";9
"Raheem Sterling";"starting";"Secondary Striker";9
"Sergio Agüero";"starting";"Centre-Forward";9
"Willy Caballero";"bench";"Keeper";9
"Nicolás Otamendi";"bench";"Centre-Back";9
"Gaël Clichy";"bench";"Left-Back";9
"Fernando";"bench";"Defensive Midfield";9
"Nolito";"bench";"Left Wing";9
"Jesús Navas";"bench";"Right Midfield";9
"Kelechi Iheanacho";"bench";"Centre-Forward";9
"Claudio Bravo";"starting";"Keeper";10
"John Stones";"starting";"Centre-Back";10
"Nicolás Otamendi";"starting";"Centre-Back";10
"Aleksandar Kolarov";"starting";"Left-Back";10
"Fernando";"starting";"Right-Back";10
"Fernandinho";"starting";"Defensive Midfield";10
"Ilkay Gündogan";"starting";"Central Midfield";10
"David Silva";"starting";"Attacking Midfield";10
"Nolito";"starting";"Left Wing";10
"Raheem Sterling";"starting";"Right Wing";10
"Sergio Agüero";"starting";"Centre-Forward";10
"Willy Caballero";"bench";"Keeper";10
"Vincent Kompany";"bench";"Centre-Back";10
"Gaël Clichy";"bench";"Left-Back";10
"Aleix García";"bench";"Central Midfield";10
"Kevin De Bruyne";"bench";"Left Wing";10
"Jesús Navas";"bench";"Right Wing";10
"Kelechi Iheanacho";"bench";"Centre-Forward";10
"Claudio Bravo";"starting";"Keeper";11
"John Stones";"starting";"Centre-Back";11
"Aleksandar Kolarov";"starting";"Centre-Back";11
"Gaël Clichy";"starting";"Left-Back";11
"Pablo Zabaleta";"starting";"Right-Back";11
"Fernandinho";"starting";"Defensive Midfield";11
"Ilkay Gündogan";"starting";"Central Midfield";11
"David Silva";"starting";"Attacking Midfield";11
"Kevin De Bruyne";"starting";"Left Wing";11
"Jesús Navas";"starting";"Right Wing";11
"Sergio Agüero";"starting";"Centre-Forward";11
"Willy Caballero";"bench";"Keeper";11
"Vincent Kompany";"bench";"Centre-Back";11
"Pablo Maffeo";"bench";"Right-Back";11
"Aleix García";"bench";"Central Midfield";11
"Leroy Sané";"bench";"Left Wing";11
"Nolito";"bench";"Left Wing";11
"Kelechi Iheanacho";"bench";"Centre-Forward";11
"Claudio Bravo";"starting";"Keeper";12
"Vincent Kompany";"starting";"Centre-Back";12
"Nicolás Otamendi";"starting";"Centre-Back";12
"Aleksandar Kolarov";"starting";"Left-Back";12
"Bacary Sagna";"starting";"Right-Back";12
"Fernandinho";"starting";"Defensive Midfield";12
"Yaya Touré";"starting";"Central Midfield";12
"Kevin De Bruyne";"starting";"Attacking Midfield";12
"Nolito";"starting";"Left Wing";12
"Raheem Sterling";"starting";"Right Wing";12
"Sergio Agüero";"starting";"Centre-Forward";12
"Willy Caballero";"bench";"Keeper";12
"Pablo Zabaleta";"bench";"Right-Back";12
"Fernando";"bench";"Defensive Midfield";12
"David Silva";"bench";"Left Wing";12
"Leroy Sané";"bench";"Left Wing";12
"Jesús Navas";"bench";"Right Wing";12
"Kelechi Iheanacho";"bench";"Centre-Forward";12
"Claudio Bravo";"starting";"Keeper";13
"Nicolás Otamendi";"starting";"Centre-Back";13
"Aleksandar Kolarov";"starting";"Centre-Back";13
"Gaël Clichy";"starting";"Left-Back";13
"Bacary Sagna";"starting";"Right-Back";13
"Fernando";"starting";"Defensive Midfield";13
"Fernandinho";"starting";"Central Midfield";13
"Yaya Touré";"starting";"Attacking Midfield";13
"Nolito";"starting";"Left Wing";13
"Raheem Sterling";"starting";"Right Wing";13
"Sergio Agüero";"starting";"Centre-Forward";13
"Willy Caballero";"bench";"Keeper";13
"Pablo Zabaleta";"bench";"Right-Back";13
"David Silva";"bench";"Attacking Midfield";13
"Kevin De Bruyne";"bench";"Attacking Midfield";13
"Leroy Sané";"bench";"Left Wing";13
"Jesús Navas";"bench";"Right Wing";13
"Kelechi Iheanacho";"bench";"Centre-Forward";13
"Claudio Bravo";"starting";"Keeper";14
"John Stones";"starting";"Centre-Back";14
"Nicolás Otamendi";"starting";"Centre-Back";14
"Aleksandar Kolarov";"starting";"Centre-Back";14
"Fernandinho";"starting";"Defensive Midfield";14
