"player";"lineup";"post";"matchday"
"Pedro";"starting";"Attacking Midfield";33
"Diego Costa";"starting";"Centre-Forward";33
"Eduardo";"bench";"Keeper";33
"Nathan Aké";"bench";"Centre-Back";33
"John Terry";"bench";"Centre-Back";33
"Cesc Fàbregas";"bench";"Central Midfield";33
"Ruben Loftus-Cheek";"bench";"Central Midfield";33
"Willian";"bench";"Right Wing";33
"Michy Batshuayi";"bench";"Centre-Forward";33
"Thibaut Courtois";"starting";"Keeper";34
"David Luiz";"starting";"Centre-Back";34
"Gary Cahill";"starting";"Centre-Back";34
"César Azpilicueta";"starting";"Centre-Back";34
"Nemanja Matic";"starting";"Defensive Midfield";34
"N'Golo Kanté";"starting";"Defensive Midfield";34
"Victor Moses";"starting";"Right Midfield";34
"Marcos Alonso";"starting";"Left Midfield";34
"Cesc Fàbregas";"starting";"Attacking Midfield";34
"Eden Hazard";"starting";"Attacking Midfield";34
"Diego Costa";"starting";"Centre-Forward";34
"Asmir Begovic";"bench";"Keeper";34
"Nathan Aké";"bench";"Centre-Back";34
"John Terry";"bench";"Centre-Back";34
"Nathaniel Chalobah";"bench";"Defensive Midfield";34
"Pedro";"bench";"Attacking Midfield";34
"Willian";"bench";"Right Wing";34
"Michy Batshuayi";"bench";"Centre-Forward";34
"Thibaut Courtois";"starting";"Keeper";35
"David Luiz";"starting";"Centre-Back";35
"Gary Cahill";"starting";"Centre-Back";35
"César Azpilicueta";"starting";"Centre-Back";35
"Nemanja Matic";"starting";"Defensive Midfield";35
"N'Golo Kanté";"starting";"Defensive Midfield";35
"Victor Moses";"starting";"Right Midfield";35
"Marcos Alonso";"starting";"Left Midfield";35
"Eden Hazard";"starting";"Attacking Midfield";35
"Pedro";"starting";"Attacking Midfield";35
"Diego Costa";"starting";"Centre-Forward";35
"Asmir Begovic";"bench";"Keeper";35
"Nathan Aké";"bench";"Centre-Back";35
"Kurt Zouma";"bench";"Centre-Back";35
"Nathaniel Chalobah";"bench";"Defensive Midfield";35
"Cesc Fàbregas";"bench";"Attacking Midfield";35
"Willian";"bench";"Attacking Midfield";35
"Michy Batshuayi";"bench";"Centre-Forward";35
"Thibaut Courtois";"starting";"Keeper";36
"David Luiz";"starting";"Centre-Back";36
"Gary Cahill";"starting";"Centre-Back";36
"César Azpilicueta";"starting";"Centre-Back";36
"Nemanja Matic";"starting";"Defensive Midfield";36
"Cesc Fàbregas";"starting";"Defensive Midfield";36
"Victor Moses";"starting";"Right Midfield";36
"Marcos Alonso";"starting";"Left Midfield";36
"Eden Hazard";"starting";"Attacking Midfield";36
"Pedro";"starting";"Attacking Midfield";36
"Diego Costa";"starting";"Centre-Forward";36
"Asmir Begovic";"bench";"Keeper";36
"Nathan Aké";"bench";"Centre-Back";36
"Kurt Zouma";"bench";"Centre-Back";36
"John Terry";"bench";"Centre-Back";36
"Nathaniel Chalobah";"bench";"Defensive Midfield";36
"Ruben Loftus-Cheek";"bench";"Central Midfield";36
"Willian";"bench";"Attacking Midfield";36
"Thibaut Courtois";"starting";"Keeper";37
"David Luiz";"starting";"Centre-Back";37
"Gary Cahill";"starting";"Centre-Back";37
"César Azpilicueta";"starting";"Centre-Back";37
"Nemanja Matic";"starting";"Defensive Midfield";37
"Cesc Fàbregas";"starting";"Defensive Midfield";37
"Victor Moses";"starting";"Right Midfield";37
"Marcos Alonso";"starting";"Left Midfield";37
"Eden Hazard";"starting";"Attacking Midfield";37
"Pedro";"starting";"Attacking Midfield";37
"Diego Costa";"starting";"Centre-Forward";37
"Asmir Begovic";"bench";"Keeper";37
"Nathan Aké";"bench";"Centre-Back";37
"Kurt Zouma";"bench";"Centre-Back";37
"John Terry";"bench";"Centre-Back";37
"N'Golo Kanté";"bench";"Defensive Midfield";37
"Willian";"bench";"Attacking Midfield";37
"Michy Batshuayi";"bench";"Secondary Striker";37
"Thibaut Courtois";"starting";"Keeper";38
"David Luiz";"starting";"Centre-Back";38
"John Terry";"starting";"Centre-Back";38
"César Azpilicueta";"starting";"Centre-Back";38
"N'Golo Kanté";"starting";"Defensive Midfield";38
"Cesc Fàbregas";"starting";"Defensive Midfield";38
"Victor Moses";"starting";"Right Midfield";38
"Marcos Alonso";"starting";"Left Midfield";38
"Eden Hazard";"starting";"Attacking Midfield";38
"Willian";"starting";"Attacking Midfield";38
"Diego Costa";"starting";"Centre-Forward";38
"Asmir Begovic";"bench";"Keeper";38
"Kurt Zouma";"bench";"Centre-Back";38
"Gary Cahill";"bench";"Centre-Back";38
"Nemanja Matic";"bench";"Defensive Midfield";38
"Nathaniel Chalobah";"bench";"Defensive Midfield";38
"Pedro";"bench";"Attacking Midfield";38
"Michy Batshuayi";"bench";"Centre-Forward";38
